temp,temp
1094,2013-06-17
1095,76.0
1096,2013-06-18
1097,76.0
1098,2013-06-19
1099,77.0
1100,2013-06-20
1101,71.0
1102,2013-06-25
1103,74.0
1104,2013-06-26
1105,72.0
1106,2013-06-27
1107,77.0
1108,2014-06-01
1109,77.0
1110,2014-06-02
1111,78.0
1112,2014-06-03
1113,77.0
1114,2014-06-04
1115,77.0
1116,2014-06-05
1117,76.0
1118,2014-06-06
1119,75.0
1120,2014-06-07
1121,79.0
1122,2014-06-09
1123,75.0
1124,2014-06-10
1125,73.0
1126,2014-06-11
1127,76.0
1128,2014-06-12
1129,78.0
1130,2014-06-13
1131,77.0
1132,2014-06-14
1133,78.0
1134,2014-06-16
1135,76.0
1136,2014-06-17
1137,75.0
1138,2014-06-18
1139,76.0
1140,2014-06-19
1141,77.0
1142,2014-06-20
1143,74.0
1144,2014-06-21
1145,78.0
1146,2014-06-23
1147,77.0
1148,2014-06-24
1149,77.0
1150,2014-06-25
1151,74.0
1152,2014-06-26
1153,74.0
1154,2014-06-27
1155,78.0
1156,2014-06-29
1157,79.0
1158,2014-06-30
1159,79.0
1160,2015-06-01
1161,78.0
1162,2015-06-03
1163,75.0
1164,2015-06-04
1165,76.0
1166,2015-06-05
1167,78.0
1168,2015-06-06
1169,78.0
1170,2015-06-08
1171,74.0
1172,2015-06-09
1173,78.0
1174,2015-06-10
1175,77.0
1176,2015-06-11
1177,76.0
1178,2015-06-12
1179,78.0
1180,2015-06-14
1181,78.0
1182,2015-06-15
1183,78.0
1184,2015-06-16
1185,78.0
1186,2015-06-17
1187,74.0
1188,2015-06-18
1189,79.0
1190,2015-06-19
1191,77.0
1192,2015-06-20
1193,73.0
1194,2015-06-21
1195,79.0
1196,2015-06-22
1197,79.0
1198,2015-06-23
1199,78.0
1200,2015-06-24
1201,77.0
1202,2015-06-25
1203,78.0
1204,2015-06-26
1205,78.0
1206,2015-06-27
1207,80.0
1208,2015-06-28
1209,80.0
1210,2015-06-29
1211,79.0
1212,2015-06-30
1213,74.0
1214,2016-06-01
1215,71.0
1216,2016-06-02
1217,74.0
1218,2016-06-03
